year	 month	 day	 hour	 R0	 UV0	 Rs
2014.0	 6.0	 7.0	 6.0	 357.567	 20.403	 85.7
2014.0	 6.0	 7.0	 7.0	 616.17	 35.158	 254.2
2014.0	 6.0	 7.0	 8.0	 857.084	 48.905	 422.4
2014.0	 6.0	 7.0	 9.0	 1063.101	 60.66	 598.6
2014.0	 6.0	 7.0	 10.0	 1220.67	 69.65	 626.7
2014.0	 6.0	 7.0	 11.0	 1319.052	 75.264	 850.8
2014.0	 6.0	 7.0	 12.0	 1351.543	 77.118	 815.1
2014.0	 6.0	 7.0	 13.0	 1315.929	 75.086	 645.8
2014.0	 6.0	 7.0	 14.0	 1214.637	 69.306	 305.4
2014.0	 6.0	 7.0	 15.0	 1054.57	 60.173	 466.0
2014.0	 6.0	 7.0	 16.0	 846.636	 48.308	 226.9
2014.0	 6.0	 8.0	 7.0	 616.659	 35.186	 190.5
2014.0	 6.0	 8.0	 8.0	 857.343	 48.919	 624.6
2014.0	 6.0	 8.0	 9.0	 1063.344	 60.674	 732.0
2014.0	 6.0	 8.0	 10.0	 1220.972	 69.668	 825.2
2014.0	 6.0	 8.0	 11.0	 1319.484	 75.289	 910.0
2014.0	 6.0	 8.0	 12.0	 1352.166	 77.154	 940.5
2014.0	 6.0	 8.0	 13.0	 1316.792	 75.135	 922.4
2014.0	 6.0	 8.0	 14.0	 1215.773	 69.371	 841.7
2014.0	 6.0	 8.0	 15.0	 1055.992	 60.254	 454.5
2014.0	 6.0	 8.0	 16.0	 848.338	 48.405	 554.9
2014.0	 6.0	 8.0	 17.0	 606.963	 34.633	 380.4
2014.0	 6.0	 8.0	 18.0	 348.316	 19.875	 208.7
2014.0	 6.0	 9.0	 6.0	 358.714	 20.468	 101.7
2014.0	 6.0	 9.0	 7.0	 617.006	 35.206	 249.8
2014.0	 6.0	 9.0	 8.0	 857.56	 48.932	 390.8
2014.0	 6.0	 9.0	 9.0	 1063.57	 60.687	 600.6
2014.0	 6.0	 9.0	 10.0	 1221.277	 69.685	 715.7
2014.0	 6.0	 9.0	 11.0	 1319.933	 75.314	 790.6
2014.0	 6.0	 9.0	 12.0	 1352.815	 77.191	 836.0
2014.0	 6.0	 9.0	 13.0	 1317.682	 75.186	 723.7
2014.0	 6.0	 9.0	 14.0	 1216.929	 69.437	 522.2
2014.0	 6.0	 9.0	 15.0	 1057.421	 60.336	 408.7
2014.0	 6.0	 9.0	 16.0	 850.029	 48.502	 308.2
2014.0	 6.0	 9.0	 17.0	 608.886	 34.743	 188.7
2014.0	 6.0	 9.0	 18.0	 350.426	 19.995	 78.9
2014.0	 6.0	 10.0	 6.0	 359.122	 20.491	 27.2
2014.0	 6.0	 10.0	 7.0	 617.286	 35.222	 132.4
2014.0	 6.0	 10.0	 8.0	 857.688	 48.939	 263.4
2014.0	 6.0	 10.0	 9.0	 1063.719	 60.695	 517.8
2014.0	 6.0	 10.0	 10.0	 1221.516	 69.699	 583.2
2014.0	 6.0	 10.0	 11.0	 1320.325	 75.337	 731.4
2014.0	 6.0	 10.0	 12.0	 1353.412	 77.225	 800.1
2014.0	 6.0	 10.0	 13.0	 1318.523	 75.234	 603.7
2014.0	 6.0	 10.0	 14.0	 1218.034	 69.5	 811.6
2014.0	 6.0	 10.0	 15.0	 1058.796	 60.414	 551.0
2014.0	 6.0	 10.0	 16.0	 851.658	 48.595	 186.2
2014.0	 6.0	 10.0	 17.0	 610.737	 34.848	 68.4
2014.0	 6.0	 10.0	 18.0	 352.453	 20.111	 69.2
2014.0	 6.0	 11.0	 6.0	 359.416	 20.508	 45.3
2014.0	 6.0	 11.0	 7.0	 617.464	 35.232	 226.6
2014.0	 6.0	 11.0	 8.0	 857.678	 48.938	 345.6
2014.0	 6.0	 11.0	 9.0	 1063.73	 60.696	 528.9
2014.0	 6.0	 11.0	 10.0	 1221.618	 69.705	 730.5
2014.0	 6.0	 11.0	 11.0	 1320.582	 75.351	 537.0
2014.0	 6.0	 11.0	 12.0	 1353.878	 77.251	 918.8
2014.0	 6.0	 11.0	 13.0	 1319.236	 75.275	 843.4
2014.0	 6.0	 11.0	 14.0	 1219.018	 69.556	 764.7
2014.0	 6.0	 11.0	 16.0	 853.174	 48.681	 691.8
2014.0	 6.0	 11.0	 17.0	 612.48	 34.948	 374.1
2014.0	 6.0	 11.0	 18.0	 354.374	 20.22	 195.7
2014.0	 6.0	 12.0	 6.0	 359.574	 20.517	 86.0
2014.0	 6.0	 12.0	 7.0	 617.503	 35.234	 339.8
2014.0	 6.0	 12.0	 8.0	 857.63	 48.936	 526.0
2014.0	 6.0	 12.0	 9.0	 1063.728	 60.695	 682.1
2014.0	 6.0	 12.0	 10.0	 1221.727	 69.711	 815.5
2014.0	 6.0	 12.0	 11.0	 1320.86	 75.367	 897.5
2014.0	 6.0	 12.0	 12.0	 1354.371	 77.279	 935.6
2014.0	 6.0	 12.0	 13.0	 1319.977	 75.317	 913.0
2014.0	 6.0	 12.0	 14.0	 1220.021	 69.614	 843.8
2014.0	 6.0	 12.0	 15.0	 1061.316	 60.558	 587.3
2014.0	 6.0	 12.0	 16.0	 854.676	 48.767	 563.7
2014.0	 6.0	 12.0	 17.0	 614.184	 35.045	 419.5
2014.0	 6.0	 12.0	 18.0	 356.229	 20.326	 223.1
2014.0	 6.0	 13.0	 6.0	 359.641	 20.521	 94.1
2014.0	 6.0	 13.0	 7.0	 617.479	 35.233	 264.8
2014.0	 6.0	 13.0	 8.0	 857.447	 48.925	 450.8
2014.0	 6.0	 13.0	 9.0	 1063.589	 60.688	 608.6
2014.0	 6.0	 13.0	 10.0	 1221.701	 69.709	 721.4
2014.0	 6.0	 13.0	 11.0	 1321.005	 75.376	 826.9
2014.0	 6.0	 13.0	 12.0	 1354.734	 77.3	 849.4
2014.0	 6.0	 13.0	 13.0	 1320.591	 75.352	 811.6
2014.0	 6.0	 13.0	 14.0	 1220.902	 69.664	 768.6
2014.0	 6.0	 13.0	 15.0	 1062.46	 60.623	 570.6
2014.0	 6.0	 13.0	 16.0	 856.063	 48.846	 503.8
2014.0	 6.0	 13.0	 17.0	 615.777	 35.136	 266.6
2014.0	 6.0	 13.0	 18.0	 357.977	 20.426	 144.5
2014.0	 6.0	 14.0	 6.0	 359.574	 20.517	 76.7
2014.0	 6.0	 14.0	 7.0	 617.32	 35.224	 167.7
2014.0	 6.0	 14.0	 8.0	 857.229	 48.913	 326.0
2014.0	 6.0	 14.0	 9.0	 1063.441	 60.679	 418.0
2014.0	 6.0	 14.0	 10.0	 1221.683	 69.708	 516.9
2014.0	 6.0	 14.0	 11.0	 1321.172	 75.385	 555.6
2014.0	 6.0	 14.0	 12.0	 1355.126	 77.323	 337.8
2014.0	 6.0	 14.0	 13.0	 1321.233	 75.389	 563.6
2014.0	 6.0	 14.0	 14.0	 1221.802	 69.715	 506.0
2014.0	 6.0	 14.0	 15.0	 1063.609	 60.689	 409.1
2014.0	 6.0	 14.0	 16.0	 857.434	 48.924	 205.6
2014.0	 6.0	 14.0	 17.0	 617.328	 35.224	 56.4
2014.0	 6.0	 14.0	 18.0	 359.655	 20.522	 22.1
2014.0	 6.0	 15.0	 6.0	 359.418	 20.508	 37.1
2014.0	 6.0	 15.0	 7.0	 617.1	 35.211	 98.8
2014.0	 6.0	 15.0	 8.0	 856.927	 48.896	 236.5
2014.0	 6.0	 15.0	 9.0	 1063.221	 60.667	 473.5
2014.0	 6.0	 15.0	 10.0	 1221.604	 69.704	 549.7
2014.0	 6.0	 15.0	 11.0	 1321.284	 75.392	 253.2
2014.0	 6.0	 15.0	 12.0	 1355.467	 77.342	 681.0
2014.0	 6.0	 15.0	 13.0	 1321.825	 75.422	 312.6
2014.0	 6.0	 15.0	 14.0	 1222.649	 69.763	 397.2
2014.0	 6.0	 15.0	 15.0	 1064.698	 60.751	 108.6
2014.0	 6.0	 15.0	 16.0	 858.737	 48.999	 140.1
2014.0	 6.0	 15.0	 17.0	 618.801	 35.308	 19.6
2014.0	 6.0	 16.0	 6.0	 359.153	 20.493	 32.2
2014.0	 6.0	 16.0	 7.0	 616.783	 35.193	 120.0
2014.0	 6.0	 16.0	 8.0	 856.544	 48.874	 109.3
2014.0	 6.0	 16.0	 9.0	 1062.93	 60.65	 297.8
2014.0	 6.0	 16.0	 10.0	 1221.464	 69.696	 275.4
2014.0	 6.0	 16.0	 11.0	 1321.342	 75.395	 652.4
2014.0	 6.0	 16.0	 12.0	 1355.758	 77.358	 659.8
2014.0	 6.0	 16.0	 13.0	 1322.366	 75.453	 322.0
2014.0	 6.0	 16.0	 14.0	 1223.443	 69.809	 511.8
2014.0	 6.0	 16.0	 15.0	 1065.728	 60.81	 287.0
2014.0	 6.0	 16.0	 16.0	 859.971	 49.069	 140.0
2014.0	 6.0	 16.0	 17.0	 620.194	 35.388	 156.8
2014.0	 6.0	 16.0	 18.0	 362.737	 20.698	 18.2
2014.0	 6.0	 17.0	 6.0	 358.779	 20.472	 40.2
2014.0	 6.0	 17.0	 7.0	 616.371	 35.17	 191.8
2014.0	 6.0	 17.0	 8.0	 856.08	 48.847	 364.6
2014.0	 6.0	 17.0	 9.0	 1062.57	 60.63	 560.8
2014.0	 6.0	 17.0	 10.0	 1221.264	 69.684	 674.7
2014.0	 6.0	 17.0	 11.0	 1321.347	 75.395	 817.9
2014.0	 6.0	 17.0	 12.0	 1355.999	 77.372	 860.9
2014.0	 6.0	 17.0	 13.0	 1322.858	 75.481	 800.5
2014.0	 6.0	 17.0	 14.0	 1224.183	 69.851	 826.4
2014.0	 6.0	 17.0	 15.0	 1066.698	 60.865	 654.6
2014.0	 6.0	 17.0	 16.0	 861.136	 49.136	 528.8
2014.0	 6.0	 17.0	 17.0	 621.506	 35.463	 292.3
2014.0	 6.0	 17.0	 18.0	 364.137	 20.777	 155.0
2014.0	 6.0	 18.0	 6.0	 358.298	 20.444	 80.2
2014.0	 6.0	 18.0	 7.0	 615.866	 35.141	 227.2
2014.0	 6.0	 18.0	 8.0	 855.537	 48.816	 400.0
2014.0	 6.0	 18.0	 9.0	 1062.142	 60.605	 595.3
2014.0	 6.0	 18.0	 10.0	 1221.005	 69.67	 743.0
2014.0	 6.0	 18.0	 11.0	 1321.299	 75.392	 787.0
2014.0	 6.0	 18.0	 12.0	 1356.19	 77.383	 864.9
2014.0	 6.0	 18.0	 13.0	 1323.299	 75.507	 787.6
2014.0	 6.0	 18.0	 14.0	 1224.869	 69.89	 806.0
2014.0	 6.0	 18.0	 15.0	 1067.607	 60.917	 558.3
2014.0	 6.0	 18.0	 16.0	 862.23	 49.198	 439.2
2014.0	 6.0	 18.0	 17.0	 622.735	 35.533	 260.6
2014.0	 6.0	 18.0	 18.0	 365.441	 20.852	 124.0
2014.0	 6.0	 19.0	 6.0	 357.713	 20.411	 64.5
2014.0	 6.0	 19.0	 7.0	 615.269	 35.107	 166.7
2014.0	 6.0	 19.0	 8.0	 854.915	 48.781	 293.4
2014.0	 6.0	 19.0	 9.0	 1061.647	 60.577	 433.8
2014.0	 6.0	 19.0	 10.0	 1220.687	 69.651	 528.1
2014.0	 6.0	 19.0	 11.0	 1321.199	 75.387	 652.1
2014.0	 6.0	 19.0	 12.0	 1356.331	 77.391	 699.0
2014.0	 6.0	 19.0	 13.0	 1323.69	 75.529	 722.1
2014.0	 6.0	 19.0	 14.0	 1225.5	 69.926	 678.8
2014.0	 6.0	 19.0	 15.0	 1068.453	 60.965	 552.1
2014.0	 6.0	 19.0	 16.0	 863.251	 49.257	 343.0
2014.0	 6.0	 19.0	 17.0	 623.879	 35.598	 284.9
2014.0	 6.0	 19.0	 18.0	 366.649	 20.921	 92.3
2014.0	 6.0	 20.0	 7.0	 614.581	 35.068	 201.1
2014.0	 6.0	 20.0	 8.0	 854.117	 48.735	 380.1
2014.0	 6.0	 20.0	 9.0	 1060.962	 60.538	 530.4
2014.0	 6.0	 20.0	 10.0	 1220.17	 69.622	 635.3
2014.0	 6.0	 20.0	 11.0	 1320.892	 75.369	 690.8
2014.0	 6.0	 20.0	 12.0	 1356.264	 77.387	 574.5
2014.0	 6.0	 20.0	 13.0	 1323.875	 75.539	 542.2
2014.0	 6.0	 20.0	 14.0	 1225.933	 69.951	 568.6
2014.0	 6.0	 20.0	 15.0	 1069.112	 61.003	 574.9
2014.0	 6.0	 20.0	 16.0	 864.099	 49.305	 512.1
2014.0	 6.0	 20.0	 17.0	 624.865	 35.654	 289.4
2014.0	 6.0	 20.0	 18.0	 367.714	 20.982	 108.3
2014.0	 6.0	 21.0	 6.0	 356.189	 20.324	 78.9
2014.0	 6.0	 21.0	 7.0	 613.732	 35.019	 197.3
2014.0	 6.0	 21.0	 8.0	 853.343	 48.691	 342.4
2014.0	 6.0	 21.0	 9.0	 1060.336	 60.502	 506.4
2014.0	 6.0	 21.0	 10.0	 1219.738	 69.597	 601.7
2014.0	 6.0	 21.0	 11.0	 1320.688	 75.357	 818.6
2014.0	 6.0	 21.0	 12.0	 1356.306	 77.39	 524.9
2014.0	 6.0	 21.0	 13.0	 1324.164	 75.556	 710.1
2014.0	 6.0	 21.0	 14.0	 1226.452	 69.98	 293.7
2014.0	 6.0	 21.0	 15.0	 1069.83	 61.044	 305.5
2014.0	 6.0	 21.0	 16.0	 864.972	 49.355	 200.0
2014.0	 6.0	 21.0	 17.0	 625.837	 35.71	 275.1
2014.0	 6.0	 21.0	 18.0	 368.723	 21.039	 177.3
2014.0	 6.0	 22.0	 6.0	 355.296	 20.273	 27.4
2014.0	 6.0	 22.0	 7.0	 612.867	 34.97	 109.7
2014.0	 6.0	 22.0	 8.0	 852.495	 48.643	 202.1
2014.0	 6.0	 22.0	 9.0	 1059.646	 60.463	 99.1
2014.0	 6.0	 22.0	 10.0	 1219.251	 69.57	 220.7
2014.0	 6.0	 22.0	 11.0	 1320.434	 75.343	 141.1
2014.0	 6.0	 22.0	 12.0	 1356.298	 77.389	 76.0
2014.0	 6.0	 22.0	 13.0	 1324.401	 75.569	 142.0
2014.0	 6.0	 22.0	 14.0	 1226.915	 70.007	 149.7
2014.0	 6.0	 22.0	 15.0	 1070.484	 61.081	 86.6
2014.0	 6.0	 22.0	 16.0	 865.769	 49.4	 119.7
2014.0	 6.0	 22.0	 17.0	 626.721	 35.76	 72.0
2014.0	 6.0	 22.0	 18.0	 369.63	 21.091	 22.9
