year	 month	 day	 hour	 R0	 UV0	 Rs
2014.0	 6.0	 7.0	 6.0	 357.5669	 20.4025	 36.4
2014.0	 6.0	 7.0	 7.0	 616.1702	 35.1582	 384.7
2014.0	 6.0	 7.0	 8.0	 857.0843	 48.9046	 596.4
2014.0	 6.0	 7.0	 9.0	 1063.101	 60.6598	 773.2
2014.0	 6.0	 7.0	 10.0	 1220.67	 69.6505	 914.6
2014.0	 6.0	 7.0	 11.0	 1319.052	 75.2641	 991.8
2014.0	 6.0	 7.0	 12.0	 1351.543	 77.1181	 1037.8
2014.0	 6.0	 7.0	 13.0	 1315.929	 75.0859	 816.5
2014.0	 6.0	 7.0	 14.0	 1214.637	 69.3063	 814.4
2014.0	 6.0	 7.0	 15.0	 1054.5699	 60.173	 157.2
2014.0	 6.0	 7.0	 16.0	 846.6361	 48.3084	 286.7
2014.0	 6.0	 7.0	 17.0	 605.0054	 34.5212	 39.4
2014.0	 6.0	 7.0	 18.0	 346.1448	 19.7508	 33.0
2014.0	 6.0	 8.0	 6.0	 358.2092	 20.4392	 66.9
2014.0	 6.0	 8.0	 7.0	 616.6591	 35.1861	 178.0
2014.0	 6.0	 8.0	 8.0	 857.3429	 48.9194	 573.8
2014.0	 6.0	 8.0	 9.0	 1063.344	 60.6736	 603.4
2014.0	 6.0	 8.0	 10.0	 1220.972	 69.6677	 668.7
2014.0	 6.0	 8.0	 11.0	 1319.484	 75.2887	 439.1
2014.0	 6.0	 8.0	 12.0	 1352.166	 77.1536	 996.3
2014.0	 6.0	 8.0	 13.0	 1316.792	 75.1352	 594.0
2014.0	 6.0	 8.0	 16.0	 848.3382	 48.4055	 116.1
2014.0	 6.0	 8.0	 17.0	 606.9633	 34.6329	 64.7
2014.0	 6.0	 8.0	 18.0	 348.3161	 19.8747	 24.8
2014.0	 6.0	 9.0	 6.0	 358.7135	 20.4679	 25.7
2014.0	 6.0	 9.0	 7.0	 617.0063	 35.2059	 345.4
2014.0	 6.0	 9.0	 8.0	 857.5602	 48.9318	 597.0
2014.0	 6.0	 9.0	 9.0	 1063.5699	 60.6865	 765.9
2014.0	 6.0	 9.0	 10.0	 1221.277	 69.6852	 902.3
2014.0	 6.0	 9.0	 11.0	 1319.933	 75.3144	 810.1
2014.0	 6.0	 9.0	 12.0	 1352.8149	 77.1906	 1256.7
2014.0	 6.0	 9.0	 13.0	 1317.682	 75.186	 167.7
2014.0	 6.0	 9.0	 14.0	 1216.929	 69.437	 187.6
2014.0	 6.0	 9.0	 15.0	 1057.421	 60.3357	 134.9
2014.0	 6.0	 9.0	 16.0	 850.0289	 48.502	 595.2
2014.0	 6.0	 9.0	 17.0	 608.886	 34.7426	 95.6
2014.0	 6.0	 9.0	 18.0	 350.4259	 19.995	 47.2
2014.0	 6.0	 10.0	 6.0	 359.1225	 20.4913	 83.5
2014.0	 6.0	 10.0	 7.0	 617.2863	 35.2219	 73.4
2014.0	 6.0	 10.0	 8.0	 857.6882	 48.9391	 67.6
2014.0	 6.0	 10.0	 9.0	 1063.719	 60.695	 288.4
2014.0	 6.0	 10.0	 10.0	 1221.516	 69.6988	 142.5
2014.0	 6.0	 10.0	 11.0	 1320.325	 75.3367	 480.8
2014.0	 6.0	 10.0	 12.0	 1353.412	 77.2247	 221.8
2014.0	 6.0	 10.0	 13.0	 1318.5229	 75.2339	 403.0
2014.0	 6.0	 11.0	 6.0	 359.416	 20.508	 30.5
2014.0	 6.0	 11.0	 7.0	 617.4635	 35.232	 295.1
