year	 month	 day	 hour	 R0	 UV0	 Rs
2014.0	 6.0	 7.0	 6.0	 330.501	 18.858	 11.5
2014.0	 6.0	 7.0	 7.0	 603.836	 34.454	 41.0
2014.0	 6.0	 7.0	 8.0	 858.036	 48.959	 260.6
2014.0	 6.0	 7.0	 9.0	 1075.353	 61.359	 238.0
2014.0	 6.0	 7.0	 10.0	 1241.28	 70.826	 59.2
2014.0	 6.0	 7.0	 11.0	 1344.509	 76.717	 449.6
2014.0	 6.0	 7.0	 12.0	 1378.007	 78.628	 840.0
2014.0	 6.0	 7.0	 13.0	 1339.489	 76.43	 890.7
2014.0	 6.0	 7.0	 14.0	 1231.581	 70.273	 785.9
2014.0	 6.0	 7.0	 15.0	 1061.637	 60.576	 680.7
2014.0	 6.0	 7.0	 16.0	 841.238	 48.0	 476.0
2014.0	 6.0	 7.0	 17.0	 585.404	 33.403	 279.1
2014.0	 6.0	 7.0	 18.0	 311.569	 17.778	 158.4
2014.0	 6.0	 8.0	 6.0	 330.966	 18.885	 157.3
2014.0	 6.0	 8.0	 7.0	 604.14	 34.472	 291.0
2014.0	 6.0	 8.0	 8.0	 858.115	 48.963	 546.2
2014.0	 6.0	 8.0	 9.0	 1075.416	 61.362	 700.7
2014.0	 6.0	 8.0	 10.0	 1241.406	 70.834	 374.4
2014.0	 6.0	 8.0	 11.0	 1344.773	 76.732	 261.7
2014.0	 6.0	 8.0	 12.0	 1378.474	 78.655	 935.3
2014.0	 6.0	 8.0	 13.0	 1340.21	 76.471	 199.5
2014.0	 6.0	 8.0	 14.0	 1232.591	 70.331	 337.7
2014.0	 6.0	 8.0	 15.0	 1062.949	 60.651	 323.1
2014.0	 6.0	 8.0	 16.0	 842.847	 48.092	 141.6
2014.0	 6.0	 8.0	 17.0	 587.283	 33.51	 90.0
2014.0	 6.0	 8.0	 18.0	 313.674	 17.898	 30.6
2014.0	 6.0	 9.0	 6.0	 331.303	 18.904	 48.1
2014.0	 6.0	 9.0	 7.0	 604.312	 34.482	 82.1
2014.0	 6.0	 9.0	 8.0	 858.162	 48.966	 250.1
2014.0	 6.0	 9.0	 9.0	 1075.473	 61.366	 104.7
2014.0	 6.0	 9.0	 10.0	 1241.547	 70.842	 413.0
2014.0	 6.0	 9.0	 11.0	 1345.068	 76.749	 807.2
2014.0	 6.0	 9.0	 12.0	 1378.98	 78.684	 413.2
2014.0	 6.0	 9.0	 13.0	 1340.972	 76.515	 430.3
2014.0	 6.0	 9.0	 14.0	 1233.634	 70.39	 877.9
2014.0	 6.0	 9.0	 15.0	 1064.281	 60.727	 380.6
2014.0	 6.0	 9.0	 16.0	 844.455	 48.184	 329.5
2014.0	 6.0	 9.0	 17.0	 589.136	 33.616	 146.9
2014.0	 6.0	 9.0	 18.0	 315.724	 18.015	 105.6
2014.0	 6.0	 10.0	 6.0	 331.55	 18.918	 34.2
2014.0	 6.0	 10.0	 7.0	 604.423	 34.488	 86.2
2014.0	 6.0	 10.0	 8.0	 858.128	 48.964	 129.6
2014.0	 6.0	 10.0	 9.0	 1075.463	 61.365	 256.4
2014.0	 6.0	 10.0	 10.0	 1241.633	 70.847	 609.4
2014.0	 6.0	 10.0	 11.0	 1345.316	 76.763	 671.2
2014.0	 6.0	 10.0	 12.0	 1379.445	 78.71	 633.2
2014.0	 6.0	 10.0	 13.0	 1341.695	 76.556	 556.1
2014.0	 6.0	 10.0	 14.0	 1234.638	 70.448	 404.0
2014.0	 6.0	 10.0	 15.0	 1065.57	 60.801	 463.6
2014.0	 6.0	 10.0	 16.0	 846.013	 48.273	 478.7
2014.0	 6.0	 10.0	 17.0	 590.928	 33.718	 188.5
2014.0	 6.0	 10.0	 18.0	 317.7	 18.128	 156.6
2014.0	 6.0	 11.0	 6.0	 331.69	 18.926	 39.0
2014.0	 6.0	 11.0	 7.0	 604.441	 34.489	 130.0
2014.0	 6.0	 11.0	 8.0	 857.966	 48.955	 308.0
2014.0	 6.0	 11.0	 9.0	 1075.324	 61.357	 189.7
2014.0	 6.0	 11.0	 10.0	 1241.592	 70.844	 169.3
2014.0	 6.0	 11.0	 11.0	 1345.44	 76.77	 715.8
2014.0	 6.0	 11.0	 12.0	 1379.79	 78.73	 890.4
2014.0	 6.0	 11.0	 13.0	 1342.302	 76.591	 878.1
2014.0	 6.0	 11.0	 14.0	 1235.531	 70.498	 83.1
2014.0	 6.0	 11.0	 15.0	 1066.752	 60.868	 644.9
2014.0	 6.0	 11.0	 16.0	 847.468	 48.356	 468.7
2014.0	 6.0	 11.0	 17.0	 592.623	 33.815	 308.2
2014.0	 6.0	 11.0	 18.0	 319.583	 18.235	 76.9
2014.0	 6.0	 12.0	 6.0	 331.704	 18.927	 118.5
2014.0	 6.0	 12.0	 7.0	 604.331	 34.483	 309.6
2014.0	 6.0	 12.0	 8.0	 857.776	 48.944	 447.8
2014.0	 6.0	 12.0	 9.0	 1075.183	 61.349	 767.6
2014.0	 6.0	 12.0	 10.0	 1241.569	 70.843	 786.0
2014.0	 6.0	 12.0	 11.0	 1345.596	 76.779	 776.2
2014.0	 6.0	 12.0	 12.0	 1380.175	 78.752	 195.1
2014.0	 6.0	 12.0	 13.0	 1342.949	 76.628	 237.6
2014.0	 6.0	 12.0	 14.0	 1236.455	 70.551	 871.4
2014.0	 6.0	 12.0	 15.0	 1067.951	 60.937	 668.2
2014.0	 6.0	 12.0	 16.0	 848.919	 48.439	 432.2
2014.0	 6.0	 12.0	 17.0	 594.287	 33.91	 325.4
2014.0	 6.0	 12.0	 18.0	 321.407	 18.339	 145.4
2014.0	 6.0	 13.0	 6.0	 331.634	 18.923	 149.2
2014.0	 6.0	 13.0	 7.0	 604.166	 34.473	 307.3
2014.0	 6.0	 13.0	 8.0	 857.46	 48.926	 513.9
2014.0	 6.0	 13.0	 9.0	 1074.916	 61.334	 651.6
2014.0	 6.0	 13.0	 10.0	 1241.421	 70.835	 764.6
2014.0	 6.0	 13.0	 11.0	 1345.63	 76.781	 829.2
2014.0	 6.0	 13.0	 12.0	 1380.44	 78.767	 866.2
2014.0	 6.0	 13.0	 13.0	 1343.48	 76.658	 714.7
2014.0	 6.0	 13.0	 14.0	 1237.268	 70.598	 524.7
2014.0	 6.0	 13.0	 15.0	 1069.042	 60.999	 518.9
2014.0	 6.0	 13.0	 16.0	 850.267	 48.516	 169.0
2014.0	 6.0	 13.0	 17.0	 595.852	 33.999	 136.8
2014.0	 6.0	 13.0	 18.0	 323.134	 18.438	 82.3
2014.0	 6.0	 14.0	 6.0	 331.44	 18.912	 105.6
2014.0	 6.0	 14.0	 7.0	 603.875	 34.457	 69.7
2014.0	 6.0	 14.0	 8.0	 857.12	 48.907	 278.4
2014.0	 6.0	 14.0	 9.0	 1074.649	 61.319	 314.8
2014.0	 6.0	 14.0	 10.0	 1241.294	 70.827	 765.4
2014.0	 6.0	 14.0	 11.0	 1345.698	 76.785	 577.3
2014.0	 6.0	 14.0	 12.0	 1380.747	 78.784	 500.7
2014.0	 6.0	 14.0	 13.0	 1344.051	 76.691	 917.9
2014.0	 6.0	 14.0	 14.0	 1238.112	 70.646	 798.3
2014.0	 6.0	 14.0	 15.0	 1070.149	 61.062	 661.2
2014.0	 6.0	 14.0	 16.0	 851.608	 48.592	 508.0
2014.0	 6.0	 14.0	 17.0	 597.383	 34.086	 337.1
2014.0	 6.0	 14.0	 18.0	 324.799	 18.533	 171.3
2014.0	 6.0	 15.0	 6.0	 331.163	 18.896	 66.0
2014.0	 6.0	 15.0	 7.0	 603.531	 34.437	 189.5
2014.0	 6.0	 15.0	 8.0	 856.706	 48.883	 195.7
2014.0	 6.0	 15.0	 9.0	 1074.322	 61.3	 207.4
2014.0	 6.0	 15.0	 10.0	 1241.117	 70.817	 447.6
2014.0	 6.0	 15.0	 11.0	 1345.724	 76.786	 454.3
2014.0	 6.0	 15.0	 12.0	 1381.015	 78.8	 439.6
2014.0	 6.0	 15.0	 13.0	 1344.584	 76.721	 385.5
2014.0	 6.0	 15.0	 14.0	 1238.915	 70.692	 336.1
2014.0	 6.0	 15.0	 15.0	 1071.208	 61.122	 276.4
2014.0	 6.0	 15.0	 16.0	 852.893	 48.665	 128.8
2014.0	 6.0	 15.0	 17.0	 598.847	 34.17	 71.4
2014.0	 6.0	 15.0	 18.0	 326.383	 18.623	 28.0
2014.0	 6.0	 16.0	 6.0	 330.785	 18.874	 38.0
2014.0	 6.0	 16.0	 7.0	 603.1	 34.412	 47.6
2014.0	 6.0	 16.0	 8.0	 856.22	 48.855	 145.2
2014.0	 6.0	 16.0	 9.0	 1073.935	 61.278	 215.7
2014.0	 6.0	 16.0	 10.0	 1240.889	 70.804	 217.3
2014.0	 6.0	 16.0	 11.0	 1345.707	 76.785	 93.4
2014.0	 6.0	 16.0	 12.0	 1381.244	 78.813	 67.6
2014.0	 6.0	 16.0	 13.0	 1345.079	 76.749	 41.8
2014.0	 6.0	 16.0	 14.0	 1239.676	 70.735	 100.7
2014.0	 6.0	 16.0	 15.0	 1072.219	 61.18	 183.3
2014.0	 6.0	 16.0	 16.0	 854.12	 48.735	 116.0
2014.0	 6.0	 16.0	 17.0	 600.24	 34.249	 51.8
2014.0	 6.0	 16.0	 18.0	 327.883	 18.709	 24.5
2014.0	 6.0	 17.0	 6.0	 330.308	 18.847	 22.0
2014.0	 6.0	 17.0	 7.0	 602.583	 34.383	 79.7
2014.0	 6.0	 17.0	 8.0	 855.664	 48.824	 82.2
2014.0	 6.0	 17.0	 9.0	 1073.489	 61.252	 88.9
2014.0	 6.0	 17.0	 10.0	 1240.614	 70.788	 82.9
2014.0	 6.0	 17.0	 11.0	 1345.648	 76.782	 188.6
2014.0	 6.0	 17.0	 12.0	 1381.435	 78.824	 408.1
2014.0	 6.0	 17.0	 13.0	 1345.535	 76.775	 1004.1
2014.0	 6.0	 17.0	 14.0	 1240.396	 70.776	 780.7
2014.0	 6.0	 17.0	 15.0	 1073.181	 61.235	 462.2
2014.0	 6.0	 17.0	 16.0	 855.287	 48.802	 285.8
2014.0	 6.0	 17.0	 17.0	 601.562	 34.325	 163.3
2014.0	 6.0	 17.0	 18.0	 329.297	 18.789	 89.7
2014.0	 6.0	 18.0	 6.0	 329.732	 18.814	 134.5
2014.0	 6.0	 18.0	 7.0	 601.982	 34.349	 308.4
2014.0	 6.0	 18.0	 8.0	 855.038	 48.788	 514.6
2014.0	 6.0	 18.0	 9.0	 1072.986	 61.224	 701.9
2014.0	 6.0	 18.0	 10.0	 1240.29	 70.77	 854.5
2014.0	 6.0	 18.0	 11.0	 1345.548	 76.776	 924.4
2014.0	 6.0	 18.0	 12.0	 1381.588	 78.832	 960.1
2014.0	 6.0	 18.0	 13.0	 1345.953	 76.799	 938.3
2014.0	 6.0	 18.0	 14.0	 1241.072	 70.815	 847.2
2014.0	 6.0	 18.0	 15.0	 1074.092	 61.287	 700.0
2014.0	 6.0	 18.0	 16.0	 856.393	 48.865	 522.3
2014.0	 6.0	 18.0	 17.0	 602.81	 34.396	 329.5
2014.0	 6.0	 18.0	 18.0	 330.625	 18.865	 134.7
2014.0	 6.0	 19.0	 6.0	 329.06	 18.776	 76.9
2014.0	 6.0	 19.0	 7.0	 601.299	 34.31	 148.9
2014.0	 6.0	 19.0	 8.0	 854.344	 48.748	 396.2
2014.0	 6.0	 19.0	 9.0	 1072.427	 61.192	 396.5
2014.0	 6.0	 19.0	 10.0	 1239.919	 70.749	 548.3
2014.0	 6.0	 19.0	 11.0	 1345.407	 76.768	 623.9
2014.0	 6.0	 19.0	 12.0	 1381.703	 78.839	 778.1
2014.0	 6.0	 19.0	 13.0	 1346.331	 76.821	 699.8
2014.0	 6.0	 19.0	 14.0	 1241.704	 70.851	 709.2
2014.0	 6.0	 19.0	 15.0	 1074.952	 61.336	 320.1
2014.0	 6.0	 19.0	 16.0	 857.437	 48.925	 351.7
2014.0	 6.0	 19.0	 17.0	 603.984	 34.463	 153.1
2014.0	 6.0	 19.0	 18.0	 331.865	 18.936	 69.7
2014.0	 6.0	 20.0	 6.0	 328.293	 18.732	 31.3
2014.0	 6.0	 20.0	 7.0	 600.534	 34.266	 22.4
2014.0	 6.0	 20.0	 8.0	 853.485	 48.699	 32.0
2014.0	 6.0	 20.0	 9.0	 1071.687	 61.15	 41.6
2014.0	 6.0	 20.0	 10.0	 1239.357	 70.717	 112.0
2014.0	 6.0	 20.0	 11.0	 1345.069	 76.749	 54.9
2014.0	 6.0	 20.0	 12.0	 1381.618	 78.834	 101.2
2014.0	 6.0	 20.0	 13.0	 1346.514	 76.831	 162.9
2014.0	 6.0	 20.0	 14.0	 1242.148	 70.876	 306.8
2014.0	 6.0	 20.0	 15.0	 1075.634	 61.375	 283.1
2014.0	 6.0	 20.0	 16.0	 858.318	 48.975	 369.2
2014.0	 6.0	 20.0	 17.0	 605.011	 34.521	 157.5
2014.0	 6.0	 20.0	 18.0	 332.975	 18.999	 110.0
2014.0	 6.0	 21.0	 6.0	 327.394	 18.681	 32.6
2014.0	 6.0	 21.0	 7.0	 599.62	 34.214	 88.8
2014.0	 6.0	 21.0	 8.0	 852.66	 48.652	 196.3
2014.0	 6.0	 21.0	 9.0	 1071.019	 61.112	 251.9
2014.0	 6.0	 21.0	 10.0	 1238.896	 70.69	 742.3
2014.0	 6.0	 21.0	 11.0	 1344.848	 76.736	 844.2
2014.0	 6.0	 21.0	 12.0	 1381.657	 78.836	 575.8
2014.0	 6.0	 21.0	 13.0	 1346.814	 76.848	 548.0
2014.0	 6.0	 21.0	 14.0	 1242.692	 70.907	 118.6
2014.0	 6.0	 21.0	 15.0	 1076.388	 61.418	 194.7
2014.0	 6.0	 21.0	 16.0	 859.235	 49.027	 189.9
2014.0	 6.0	 21.0	 17.0	 606.032	 34.58	 207.4
2014.0	 6.0	 21.0	 18.0	 334.033	 19.06	 56.1
2014.0	 6.0	 22.0	 6.0	 326.441	 18.626	 111.9
2014.0	 6.0	 22.0	 7.0	 598.698	 34.161	 74.2
2014.0	 6.0	 22.0	 8.0	 851.771	 48.601	 249.1
2014.0	 6.0	 22.0	 9.0	 1070.298	 61.07	 676.0
2014.0	 6.0	 22.0	 10.0	 1238.389	 70.662	 566.8
2014.0	 6.0	 22.0	 11.0	 1344.589	 76.721	 908.0
2014.0	 6.0	 22.0	 12.0	 1381.659	 78.836	 955.8
2014.0	 6.0	 22.0	 13.0	 1347.073	 76.863	 918.3
2014.0	 6.0	 22.0	 14.0	 1243.19	 70.936	 799.1
2014.0	 6.0	 22.0	 15.0	 1077.087	 61.458	 652.1
2014.0	 6.0	 22.0	 16.0	 860.086	 49.076	 466.0
2014.0	 6.0	 22.0	 17.0	 606.973	 34.633	 256.0
2014.0	 6.0	 22.0	 18.0	 334.999	 19.115	 66.4
