year	 month	 day	 hour	 R0	 UV0	 Rs
2014.0	 6.0	 7.0	 6.0	 342.095	 19.52	 61.721
2014.0	 6.0	 7.0	 7.0	 608.538	 34.723	 195.734
2014.0	 6.0	 7.0	 8.0	 856.646	 48.88	 441.267
2014.0	 6.0	 7.0	 9.0	 1068.908	 60.991	 622.766
2014.0	 6.0	 7.0	 10.0	 1231.253	 70.254	 786.586
2014.0	 6.0	 7.0	 11.0	 1332.617	 76.038	 923.005
2014.0	 6.0	 7.0	 12.0	 1366.094	 77.948	 1002.011
2014.0	 6.0	 7.0	 13.0	 1329.4	 75.855	 1004.726
2014.0	 6.0	 7.0	 14.0	 1225.038	 69.9	 944.621
2014.0	 6.0	 7.0	 15.0	 1060.118	 60.489	 849.826
2014.0	 6.0	 7.0	 16.0	 845.881	 48.265	 698.52
2014.0	 6.0	 7.0	 17.0	 596.925	 34.06	 507.664
2014.0	 6.0	 7.0	 18.0	 330.217	 18.842	 252.143
2014.0	 6.0	 8.0	 6.0	 342.648	 19.551	 14.076
2014.0	 6.0	 8.0	 7.0	 608.932	 34.745	 60.063
2014.0	 6.0	 8.0	 8.0	 856.812	 48.889	 35.277
2014.0	 6.0	 8.0	 9.0	 1069.057	 61.0	 184.691
2014.0	 6.0	 8.0	 10.0	 1231.463	 70.266	 321.378
2014.0	 6.0	 8.0	 11.0	 1332.961	 76.058	 412.203
2014.0	 6.0	 8.0	 12.0	 1366.635	 77.979	 919.146
2014.0	 6.0	 8.0	 13.0	 1330.189	 75.9	 952.552
2014.0	 6.0	 8.0	 14.0	 1226.107	 69.961	 376.145
2014.0	 6.0	 8.0	 15.0	 1061.482	 60.567	 439.156
2014.0	 6.0	 8.0	 16.0	 847.534	 48.36	 606.303
2014.0	 6.0	 8.0	 17.0	 598.842	 34.169	 399.176
2014.0	 6.0	 8.0	 18.0	 332.354	 18.964	 218.459
2014.0	 6.0	 9.0	 6.0	 343.067	 19.575	 38.811
2014.0	 6.0	 9.0	 7.0	 609.19	 34.76	 206.503
2014.0	 6.0	 9.0	 8.0	 856.941	 48.896	 402.566
2014.0	 6.0	 9.0	 9.0	 1069.196	 61.007	 606.979
2014.0	 6.0	 9.0	 10.0	 1231.684	 70.279	 779.948
2014.0	 6.0	 9.0	 11.0	 1333.33	 76.079	 879.682
2014.0	 6.0	 9.0	 12.0	 1367.209	 78.012	 963.983
2014.0	 6.0	 9.0	 13.0	 1331.011	 75.947	 986.149
2014.0	 6.0	 9.0	 14.0	 1227.203	 70.023	 941.457
2014.0	 6.0	 9.0	 15.0	 1062.86	 60.646	 843.868
2014.0	 6.0	 9.0	 16.0	 849.181	 48.454	 684.22
2014.0	 6.0	 9.0	 17.0	 600.729	 34.277	 467.516
2014.0	 6.0	 9.0	 18.0	 334.434	 19.083	 200.043
2014.0	 6.0	 10.0	 6.0	 343.394	 19.594	 32.533
2014.0	 6.0	 10.0	 7.0	 609.383	 34.771	 145.525
2014.0	 6.0	 10.0	 8.0	 856.986	 48.899	 316.496
2014.0	 6.0	 10.0	 9.0	 1069.263	 61.011	 519.723
2014.0	 6.0	 10.0	 10.0	 1231.843	 70.288	 685.241
2014.0	 6.0	 10.0	 11.0	 1333.647	 76.097	 724.011
2014.0	 6.0	 10.0	 12.0	 1367.737	 78.042	 923.337
2014.0	 6.0	 10.0	 13.0	 1331.79	 75.991	 920.736
2014.0	 6.0	 10.0	 14.0	 1228.256	 70.083	 783.035
2014.0	 6.0	 10.0	 15.0	 1064.19	 60.722	 696.243
2014.0	 6.0	 10.0	 16.0	 850.773	 48.544	 562.695
2014.0	 6.0	 10.0	 17.0	 602.549	 34.381	 396.266
2014.0	 6.0	 10.0	 18.0	 336.435	 19.197	 180.617
2014.0	 6.0	 11.0	 6.0	 343.609	 19.606	 25.062
2014.0	 6.0	 11.0	 7.0	 609.479	 34.776	 79.937
2014.0	 6.0	 11.0	 8.0	 856.897	 48.894	 210.731
2014.0	 6.0	 11.0	 9.0	 1069.196	 61.007	 271.905
2014.0	 6.0	 11.0	 10.0	 1231.87	 70.29	 429.616
2014.0	 6.0	 11.0	 11.0	 1333.834	 76.108	 812.989
2014.0	 6.0	 11.0	 12.0	 1368.139	 78.065	 928.719
2014.0	 6.0	 11.0	 13.0	 1332.447	 76.028	 923.012
2014.0	 6.0	 11.0	 14.0	 1229.191	 70.137	 861.832
2014.0	 6.0	 11.0	 15.0	 1065.407	 60.791	 541.964
2014.0	 6.0	 11.0	 16.0	 852.257	 48.629	 557.387
2014.0	 6.0	 11.0	 17.0	 604.267	 34.479	 202.427
2014.0	 6.0	 11.0	 18.0	 338.336	 19.305	 173.365
2014.0	 6.0	 12.0	 6.0	 343.694	 19.611	 41.663
2014.0	 6.0	 12.0	 7.0	 609.442	 34.774	 181.026
2014.0	 6.0	 12.0	 8.0	 856.776	 48.887	 372.484
2014.0	 6.0	 12.0	 9.0	 1069.121	 61.003	 549.904
2014.0	 6.0	 12.0	 10.0	 1231.91	 70.292	 715.203
2014.0	 6.0	 12.0	 11.0	 1334.048	 76.12	 831.972
2014.0	 6.0	 12.0	 12.0	 1368.575	 78.09	 826.644
2014.0	 6.0	 12.0	 13.0	 1333.139	 76.068	 770.936
2014.0	 6.0	 12.0	 14.0	 1230.153	 70.192	 563.314
2014.0	 6.0	 12.0	 15.0	 1066.636	 60.861	 856.446
2014.0	 6.0	 12.0	 16.0	 853.732	 48.713	 255.93
2014.0	 6.0	 12.0	 17.0	 605.95	 34.575	 366.993
2014.0	 6.0	 12.0	 18.0	 340.176	 19.41	 196.333
2014.0	 6.0	 13.0	 6.0	 343.691	 19.611	 42.281
2014.0	 6.0	 13.0	 7.0	 609.345	 34.769	 104.497
2014.0	 6.0	 13.0	 8.0	 856.524	 48.873	 297.817
2014.0	 6.0	 13.0	 9.0	 1068.916	 60.992	 436.666
2014.0	 6.0	 13.0	 10.0	 1231.82	 70.287	 640.507
2014.0	 6.0	 13.0	 11.0	 1334.134	 76.125	 368.017
2014.0	 6.0	 13.0	 12.0	 1368.886	 78.108	 410.218
2014.0	 6.0	 13.0	 13.0	 1333.708	 76.1	 398.392
2014.0	 6.0	 13.0	 14.0	 1230.997	 70.24	 670.915
2014.0	 6.0	 13.0	 15.0	 1067.752	 60.925	 645.203
2014.0	 6.0	 13.0	 16.0	 855.099	 48.791	 541.365
2014.0	 6.0	 13.0	 17.0	 607.528	 34.665	 288.196
2014.0	 6.0	 13.0	 18.0	 341.913	 19.509	 129.144
2014.0	 6.0	 14.0	 6.0	 343.559	 19.603	 31.715
2014.0	 6.0	 14.0	 7.0	 609.118	 34.756	 99.069
2014.0	 6.0	 14.0	 8.0	 856.242	 48.856	 239.432
2014.0	 6.0	 14.0	 9.0	 1068.705	 60.979	 307.749
2014.0	 6.0	 14.0	 10.0	 1231.745	 70.282	 241.588
2014.0	 6.0	 14.0	 11.0	 1334.249	 76.131	 602.25
2014.0	 6.0	 14.0	 12.0	 1369.233	 78.127	 693.589
2014.0	 6.0	 14.0	 13.0	 1334.312	 76.135	 728.625
2014.0	 6.0	 14.0	 14.0	 1231.867	 70.289	 609.452
2014.0	 6.0	 14.0	 15.0	 1068.878	 60.989	 629.902
2014.0	 6.0	 14.0	 16.0	 856.454	 48.869	 406.628
2014.0	 6.0	 14.0	 17.0	 609.07	 34.753	 319.768
2014.0	 6.0	 14.0	 18.0	 343.585	 19.605	 141.819
2014.0	 6.0	 15.0	 6.0	 343.341	 19.591	 23.436
2014.0	 6.0	 15.0	 7.0	 608.834	 34.74	 120.386
2014.0	 6.0	 15.0	 8.0	 855.882	 48.836	 254.199
2014.0	 6.0	 15.0	 9.0	 1068.429	 60.964	 431.706
2014.0	 6.0	 15.0	 10.0	 1231.614	 70.275	 424.098
2014.0	 6.0	 15.0	 11.0	 1334.315	 76.135	 392.14
2014.0	 6.0	 15.0	 12.0	 1369.535	 78.145	 395.049
2014.0	 6.0	 15.0	 13.0	 1334.872	 76.167	 521.668
2014.0	 6.0	 15.0	 14.0	 1232.69	 70.336	 188.699
2014.0	 6.0	 15.0	 15.0	 1069.951	 61.051	 103.063
2014.0	 6.0	 15.0	 16.0	 857.747	 48.942	 99.036
2014.0	 6.0	 15.0	 17.0	 610.537	 34.837	 101.536
2014.0	 6.0	 15.0	 18.0	 345.17	 19.695	 45.949
2014.0	 6.0	 16.0	 6.0	 343.018	 19.572	 38.58
2014.0	 6.0	 16.0	 7.0	 608.458	 34.718	 124.793
2014.0	 6.0	 16.0	 8.0	 855.445	 48.811	 234.76
2014.0	 6.0	 16.0	 9.0	 1068.088	 60.944	 285.234
2014.0	 6.0	 16.0	 10.0	 1231.427	 70.264	 535.513
2014.0	 6.0	 16.0	 11.0	 1334.333	 76.136	 701.202
2014.0	 6.0	 16.0	 12.0	 1369.792	 78.159	 741.375
2014.0	 6.0	 16.0	 13.0	 1335.388	 76.196	 739.187
2014.0	 6.0	 16.0	 14.0	 1233.466	 70.381	 646.696
2014.0	 6.0	 16.0	 15.0	 1070.971	 61.109	 523.312
2014.0	 6.0	 16.0	 16.0	 858.977	 49.013	 506.333
2014.0	 6.0	 16.0	 17.0	 611.931	 34.916	 357.371
2014.0	 6.0	 16.0	 18.0	 346.668	 19.781	 36.292
2014.0	 6.0	 17.0	 6.0	 342.591	 19.548	 20.236
2014.0	 6.0	 17.0	 7.0	 607.992	 34.692	 22.48
2014.0	 6.0	 17.0	 8.0	 854.933	 48.782	 106.664
2014.0	 6.0	 17.0	 9.0	 1067.682	 60.921	 192.594
2014.0	 6.0	 17.0	 10.0	 1231.187	 70.251	 278.525
2014.0	 6.0	 17.0	 11.0	 1334.304	 76.134	 491.769
2014.0	 6.0	 17.0	 12.0	 1370.006	 78.172	 431.971
2014.0	 6.0	 17.0	 13.0	 1335.86	 76.223	 627.42
2014.0	 6.0	 17.0	 14.0	 1234.194	 70.422	 623.395
2014.0	 6.0	 17.0	 15.0	 1071.936	 61.164	 130.101
2014.0	 6.0	 17.0	 16.0	 860.142	 49.079	 91.885
2014.0	 6.0	 17.0	 17.0	 613.247	 34.991	 171.401
2014.0	 6.0	 17.0	 18.0	 348.077	 19.861	 92.747
2014.0	 6.0	 18.0	 6.0	 342.061	 19.518	 15.91
2014.0	 6.0	 18.0	 7.0	 607.437	 34.66	 73.436
2014.0	 6.0	 18.0	 8.0	 854.346	 48.748	 125.836
2014.0	 6.0	 18.0	 9.0	 1067.214	 60.894	 178.655
2014.0	 6.0	 18.0	 10.0	 1230.893	 70.234	 319.094
2014.0	 6.0	 18.0	 11.0	 1334.227	 76.13	 302.782
2014.0	 6.0	 18.0	 12.0	 1370.176	 78.181	 182.406
2014.0	 6.0	 18.0	 13.0	 1336.288	 76.248	 193.22
2014.0	 6.0	 18.0	 14.0	 1234.874	 70.461	 221.707
2014.0	 6.0	 18.0	 15.0	 1072.845	 61.216	 153.365
2014.0	 6.0	 18.0	 16.0	 861.242	 49.142	 182.681
2014.0	 6.0	 18.0	 17.0	 614.487	 35.062	 98.997
2014.0	 6.0	 18.0	 18.0	 349.394	 19.936	 55.692
2014.0	 6.0	 19.0	 6.0	 341.431	 19.482	 20.491
2014.0	 6.0	 19.0	 7.0	 606.795	 34.623	 56.073
2014.0	 6.0	 19.0	 8.0	 853.686	 48.711	 52.68
2014.0	 6.0	 19.0	 9.0	 1066.685	 60.864	 51.218
2014.0	 6.0	 19.0	 10.0	 1230.546	 70.214	 80.78
2014.0	 6.0	 19.0	 11.0	 1334.104	 76.123	 77.122
2014.0	 6.0	 19.0	 12.0	 1370.302	 78.188	 59.298
2014.0	 6.0	 19.0	 14.0	 1235.505	 70.497	 107.829
2014.0	 6.0	 19.0	 15.0	 1073.697	 61.264	 86.242
2014.0	 6.0	 19.0	 16.0	 862.275	 49.201	 84.118
2014.0	 6.0	 19.0	 17.0	 615.646	 35.128	 60.806
2014.0	 6.0	 19.0	 18.0	 350.618	 20.006	 82.517
2014.0	 6.0	 20.0	 6.0	 340.7	 19.44	 23.156
