year	 month	 day	 hour	 R0	 UV0	 Rs
2014.0	 6.0	 7.0	 6.0	 335.127	 19.122	 101.571
2014.0	 6.0	 7.0	 7.0	 604.91	 34.516	 246.319
2014.0	 6.0	 7.0	 8.0	 856.081	 48.847	 517.023
2014.0	 6.0	 7.0	 9.0	 1071.004	 61.111	 691.781
2014.0	 6.0	 7.0	 10.0	 1235.384	 70.49	 833.957
2014.0	 6.0	 7.0	 11.0	 1338.019	 76.346	 941.91
2014.0	 6.0	 7.0	 12.0	 1371.915	 78.281	 1028.35
2014.0	 6.0	 7.0	 13.0	 1334.762	 76.16	 1017.502
2014.0	 6.0	 7.0	 14.0	 1229.091	 70.131	 906.844
2014.0	 6.0	 7.0	 15.0	 1062.104	 60.603	 789.377
2014.0	 6.0	 7.0	 16.0	 845.181	 48.225	 632.208
2014.0	 6.0	 7.0	 17.0	 593.105	 33.842	 422.775
2014.0	 6.0	 7.0	 18.0	 323.054	 18.433	 229.814
2014.0	 6.0	 8.0	 6.0	 335.64	 19.151	 79.7
2014.0	 6.0	 8.0	 7.0	 605.262	 34.536	 223.189
2014.0	 6.0	 8.0	 8.0	 856.206	 48.854	 208.501
2014.0	 6.0	 8.0	 9.0	 1071.113	 61.117	 175.401
2014.0	 6.0	 8.0	 10.0	 1235.554	 70.5	 500.518
2014.0	 6.0	 8.0	 11.0	 1338.325	 76.364	 790.166
2014.0	 6.0	 8.0	 12.0	 1372.42	 78.309	 446.221
2014.0	 6.0	 8.0	 13.0	 1335.517	 76.204	 807.401
2014.0	 6.0	 8.0	 14.0	 1230.131	 70.19	 917.593
2014.0	 6.0	 8.0	 15.0	 1063.443	 60.679	 725.914
2014.0	 6.0	 8.0	 16.0	 846.812	 48.319	 565.037
2014.0	 6.0	 8.0	 17.0	 595.003	 33.95	 387.024
2014.0	 6.0	 8.0	 18.0	 325.174	 18.554	 177.479
2014.0	 6.0	 9.0	 6.0	 336.021	 19.173	 27.495
2014.0	 6.0	 9.0	 7.0	 605.48	 34.548	 96.384
2014.0	 6.0	 9.0	 8.0	 856.297	 48.86	 192.194
2014.0	 6.0	 9.0	 9.0	 1071.213	 61.123	 365.823
2014.0	 6.0	 9.0	 10.0	 1235.737	 70.51	 558.249
2014.0	 6.0	 9.0	 11.0	 1338.658	 76.383	 710.148
2014.0	 6.0	 9.0	 12.0	 1372.961	 78.34	 706.132
2014.0	 6.0	 9.0	 13.0	 1336.31	 76.249	 804.46
2014.0	 6.0	 9.0	 14.0	 1231.201	 70.251	 800.902
2014.0	 6.0	 9.0	 15.0	 1064.797	 60.757	 627.587
2014.0	 6.0	 9.0	 16.0	 848.44	 48.411	 460.913
2014.0	 6.0	 9.0	 17.0	 596.872	 34.057	 285.374
2014.0	 6.0	 9.0	 18.0	 327.239	 18.672	 167.637
2014.0	 6.0	 10.0	 6.0	 336.312	 19.19	 47.336
2014.0	 6.0	 10.0	 7.0	 605.636	 34.557	 166.75
2014.0	 6.0	 10.0	 8.0	 856.305	 48.86	 339.513
2014.0	 6.0	 10.0	 9.0	 1071.243	 61.124	 528.146
2014.0	 6.0	 10.0	 10.0	 1235.861	 70.517	 699.918
2014.0	 6.0	 10.0	 11.0	 1338.941	 76.399	 802.064
2014.0	 6.0	 10.0	 12.0	 1373.458	 78.368	 845.717
2014.0	 6.0	 10.0	 13.0	 1337.061	 76.292	 804.223
2014.0	 6.0	 10.0	 14.0	 1232.229	 70.31	 768.894
2014.0	 6.0	 10.0	 15.0	 1066.106	 60.831	 639.951
2014.0	 6.0	 10.0	 16.0	 850.014	 48.501	 434.881
2014.0	 6.0	 10.0	 17.0	 598.679	 34.16	 323.323
2014.0	 6.0	 10.0	 18.0	 329.228	 18.785	 169.953
2014.0	 6.0	 11.0	 6.0	 336.492	 19.2	 23.609
2014.0	 6.0	 11.0	 7.0	 605.695	 34.561	 47.527
2014.0	 6.0	 11.0	 8.0	 856.182	 48.853	 99.788
2014.0	 6.0	 11.0	 9.0	 1071.142	 61.118	 92.642
2014.0	 6.0	 11.0	 10.0	 1235.855	 70.517	 310.962
2014.0	 6.0	 11.0	 11.0	 1339.097	 76.408	 494.445
2014.0	 6.0	 11.0	 12.0	 1373.832	 78.39	 505.405
2014.0	 6.0	 11.0	 13.0	 1337.693	 76.328	 970.821
2014.0	 6.0	 11.0	 14.0	 1233.142	 70.362	 887.554
2014.0	 6.0	 11.0	 15.0	 1067.305	 60.9	 748.7
2014.0	 6.0	 11.0	 16.0	 851.484	 48.585	 572.61
2014.0	 6.0	 11.0	 17.0	 600.385	 34.257	 377.256
2014.0	 6.0	 11.0	 18.0	 331.12	 18.893	 188.736
2014.0	 6.0	 12.0	 6.0	 336.545	 19.203	 66.827
2014.0	 6.0	 12.0	 7.0	 605.625	 34.556	 252.759
2014.0	 6.0	 12.0	 8.0	 856.028	 48.844	 446.261
2014.0	 6.0	 12.0	 9.0	 1071.035	 61.112	 636.37
2014.0	 6.0	 12.0	 10.0	 1235.865	 70.518	 758.232
2014.0	 6.0	 12.0	 11.0	 1339.283	 76.419	 860.926
2014.0	 6.0	 12.0	 12.0	 1374.243	 78.413	 943.462
2014.0	 6.0	 12.0	 13.0	 1338.362	 76.366	 941.831
2014.0	 6.0	 12.0	 14.0	 1234.085	 70.416	 707.25
