hour	jO1D	jNO2	OH	HO2	O3	NO2-PKU	NO2-FZJ
0	0	0	nan	nan	nan	nan	10.2882
1	0	0	nan	nan	nan	nan	9.4152
2	0	0	nan	nan	nan	nan	11.9695
3	0	0	nan	nan	9.2464	9.9032	12.8123
4	0	0	nan	nan	10.8833	10.1299	11.0487
5	0.0045	0.0551	nan	nan	9.1495	12.4413	16.771
6	0.0521	1.3897	nan	nan	12.617	10.2523	12.8009
7	0.2997	3.7311	nan	nan	24.0157	10.5267	12.6975
8	0.84	5.6008	nan	nan	30.4142	9.6833	11.0089
9	1.5005	6.6722	nan	nan	47.5803	3.9259	7.3208
10	2.1352	7.2192	nan	nan	52.4781	2.2058	5.2986
11	2.5632	7.6255	nan	nan	57.967	1.3424	4.5915
12	2.8471	7.8791	nan	nan	57.9534	0.8055	3.676
13	2.7476	7.9629	nan	nan	56.9989	0.4968	3.4459
14	2.2242	7.7292	nan	nan	65.7077	0.8536	3.2634
15	1.4695	6.9205	nan	nan	89.7042	1.8714	5.0098
16	0.8691	5.9748	nan	nan	91.5741	2.049	5.1354
17	0.4081	4.7413	nan	nan	92.2947	2.049	5.0244
18	0.132	2.9121	nan	nan	90.9658	2.7742	7.6032
19	0.0108	1.0875	nan	nan	74.156	4.2517	9.7299
20	0	0.0393	nan	nan	57.4352	6.4486	9.1288
21	0	0	nan	nan	49.4854	9.8785	15.7318
22	0	0	nan	nan	13.5385	36.9498	46.0015
23	0	0	nan	nan	25.9367	30.6142	49.4618
24	0	0	nan	nan	34.9989	18.64	21.2881
25	0	0	nan	nan	47.099	17.9957	11.6375
26	0	0	nan	nan	48.3825	9.2167	10.7811
27	0	0	nan	nan	42.7389	9.2755	13.3501
28	0	0	nan	nan	27.92	17.5563	21.1753
29	0	0.0568	nan	nan	22.4242	13.3113	23.6529
30	0.0088	0.3165	nan	1.15555	18.0862	13.525	18.1827
31	0.0918	1.1023	2.26897	0.45494	16.8625	14.6707	21.8049
32	0.2507	2.5111	4.10198	0.85217	22.3486	15.164	21.8711
33	0.4085	3.1014	3.86314	1.52216	29.1313	17.4847	25.1609
34	0.5349	1.9764	2.90809	0.99643	27.8763	18.9216	25.3159
35	2.04	7.3508	8.54985	1.87323	53.0928	13.3711	18.1994
36	2.2796	7.7219	13.35863	7.3455	69.4766	3.1359	8.3449
